Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC
Date,,,,,,
2023-10-30 00:00:00+00:00,3.420175552368164,3.569499969482422,3.5764999389648438,3.4714999198913574,3.5,70729714
2023-10-31 00:00:00+00:00,3.39811635017395,3.4660000801086426,3.5439999103546143,3.429500102996826,3.505500078201294,55102774
2023-11-01 00:00:00+00:00,3.4319405555725098,3.500499963760376,3.515500068664551,3.4600000381469727,3.4885001182556152,41262477
2023-11-02 00:00:00+00:00,3.5147855281829834,3.5850000381469727,3.5959999561309814,3.495500087738037,3.503999948501587,38701766
2023-11-03 00:00:00+00:00,3.507432699203491,3.577500104904175,3.6105000972747803,3.559999942779541,3.5975000858306885,47557948
2023-11-06 00:00:00+00:00,3.4706668853759766,3.5399999618530273,3.5894999504089355,3.5344998836517334,3.5789999961853027,50964313
2023-11-07 00:00:00+00:00,3.4520390033721924,3.5209999084472656,3.558500051498413,3.48799991607666,3.5199999809265137,129325134
2023-11-08 00:00:00+00:00,3.4790005683898926,3.5485000610351562,3.5855000019073486,3.487499952316284,3.5190000534057617,35055000
2023-11-09 00:00:00+00:00,3.526550531387329,3.5969998836517334,3.5969998836517334,3.546999931335449,3.552000045776367,24840848
2023-11-10 00:00:00+00:00,3.538315534591675,3.6089999675750732,3.634500026702881,3.5810000896453857,3.5905001163482666,42654165
2023-11-13 00:00:00+00:00,3.578512668609619,3.6500000953674316,3.6500000953674316,3.61899995803833,3.621999979019165,26206164
2023-11-14 00:00:00+00:00,3.611356496810913,3.683500051498413,3.694499969482422,3.637500047683716,3.6500000953674316,40148908
2023-11-15 00:00:00+00:00,3.598120927810669,3.6700000762939453,3.700000047683716,3.6624999046325684,3.688999891281128,39983364
2023-11-16 00:00:00+00:00,3.6177291870117188,3.690000057220459,3.7295000553131104,3.674999952316284,3.674999952316284,34850709
2023-11-17 00:00:00+00:00,3.6505730152130127,3.7235000133514404,3.7290000915527344,3.690000057220459,3.700000047683716,65573690
2023-11-20 00:00:00+00:00,3.660867214202881,3.7339999675750732,3.7674999237060547,3.7260000705718994,3.7300000190734863,27461572
2023-11-21 00:00:00+00:00,3.653024196624756,3.7260000705718994,3.7274999618530273,3.690999984741211,3.7135000228881836,17106225
2023-11-22 00:00:00+00:00,3.6731226444244385,3.746500015258789,3.755000114440918,3.7174999713897705,3.7355000972747803,27335636
2023-11-23 00:00:00+00:00,3.6868481636047363,3.760499954223633,3.7660000324249268,3.7314999103546143,3.740499973297119,19229828
2023-11-24 00:00:00+00:00,3.6942012310028076,3.7679998874664307,3.7764999866485596,3.75600004196167,3.7699999809265137,20252178
2023-11-27 00:00:00+00:00,3.64665150642395,3.7195000648498535,3.7664999961853027,3.7084999084472656,3.75600004196167,29020618
2023-11-28 00:00:00+00:00,3.7054762840270996,3.7795000076293945,3.7795000076293945,3.7065000534057617,3.7065000534057617,31244594
2023-11-29 00:00:00+00:00,3.723613977432251,3.7980000972747803,3.811000108718872,3.763000011444092,3.7699999809265137,45463581
2023-11-30 00:00:00+00:00,3.726555109024048,3.8010001182556152,3.8394999504089355,3.7885000705718994,3.819999933242798,66558689
2023-12-01 00:00:00+00:00,3.761849880218506,3.8369998931884766,3.8369998931884766,3.807499885559082,3.8259999752044678,37058506
2023-12-04 00:00:00+00:00,3.772634506225586,3.8480000495910645,3.8499999046325684,3.808000087738037,3.825000047683716,23421657
2023-12-05 00:00:00+00:00,3.84322452545166,3.9200000762939453,3.92549991607666,3.8420000076293945,3.8459999561309814,40476392
2023-12-06 00:00:00+00:00,3.879009485244751,3.9565000534057617,3.9695000648498535,3.9140000343322754,3.940000057220459,36152185
2023-12-07 00:00:00+00:00,3.7897918224334717,3.865499973297119,3.9665000438690186,3.811000108718872,3.940500020980835,48801259
2023-12-08 00:00:00+00:00,3.86283278465271,3.940000057220459,3.94950008392334,3.859999895095825,3.880500078201294,29119780
2023-12-11 00:00:00+00:00,3.8638131618499756,3.940999984741211,3.950000047683716,3.9130001068115234,3.928499937057495,27851835
2023-12-12 00:00:00+00:00,3.799595832824707,3.875499963760376,3.947499990463257,3.871500015258789,3.944000005722046,52436443
2023-12-13 00:00:00+00:00,3.7628304958343506,3.8380000591278076,3.880000114440918,3.822000026702881,3.8585000038146973,38266823
