Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
143,37,0.8949999999999999,0.04,1.3924975395202637,0.026782711176698837,0.001402139663696289,0.0003758858956608139,0.01,4,1000,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 1000}",0.95,0.9,0.9,0.9,0.825
36,58,0.89,0.025495097567963948,0.019316434860229492,0.0061174511742112525,0.0006006717681884766,0.00020010479155872663,0.5,3,10,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 10}",0.9,0.875,0.85,0.9,0.925
67,58,0.89,0.020000000000000018,0.08637428283691406,0.0020413957495506218,0.0006006717681884766,0.00020022395111941386,0.25,4,50,"{'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 50}",0.9,0.9,0.9,0.9,0.85
68,58,0.89,0.020000000000000018,0.17074689865112305,0.003429230385070218,0.0007005214691162109,0.0002450480213336519,0.25,4,100,"{'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 100}",0.9,0.9,0.9,0.9,0.85
92,58,0.89,0.025495097567963948,0.19126458168029786,0.028305888683141146,0.0007005214691162109,0.0002452427510974719,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",0.925,0.875,0.9,0.9,0.85
82,58,0.89,0.025495097567963948,0.482314920425415,0.003763519853816238,0.0010009288787841796,1.784161275279017e-07,0.1,2,500,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 500}",0.925,0.9,0.85,0.9,0.875
125,58,0.89,0.012247448713915901,0.7295276165008545,0.039780066974116894,0.0011010169982910156,0.00020003321628320284,0.01,1,1000,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 1000}",0.9,0.9,0.9,0.875,0.875
118,58,0.89,0.033911649915626375,0.8913668155670166,0.021267839164383517,0.00150146484375,1.9073486328125e-07,0.05,4,500,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 500}",0.925,0.825,0.9,0.9,0.9
49,65,0.8899999999999999,0.03000000000000003,0.03492999076843262,0.0006639741948875845,0.0005003929138183594,1.784161275279017e-07,0.25,1,50,"{'learning_rate': 0.25, 'max_depth': 1, 'n_estimators': 50}",0.875,0.925,0.875,0.925,0.85
69,65,0.8899999999999999,0.020000000000000018,0.23119888305664063,0.005581407904600689,0.0007006168365478515,0.0002451649148496235,0.25,4,200,"{'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 200}",0.925,0.875,0.875,0.9,0.875
70,65,0.8899999999999999,0.020000000000000018,0.34529685974121094,0.010241071461898864,0.000900888442993164,0.00020022400789924513,0.25,4,500,"{'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 500}",0.925,0.875,0.875,0.9,0.875
58,65,0.8899999999999999,0.012247448713915901,0.4730067729949951,0.020050791683971135,0.0010009288787841796,1.784161275279017e-07,0.25,2,500,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 500}",0.9,0.9,0.875,0.9,0.875
71,65,0.8899999999999999,0.020000000000000018,0.5368619918823242,0.014632561553357857,0.0012008190155029298,0.0004003524780273437,0.25,4,1000,"{'learning_rate': 0.25, 'max_depth': 4, 'n_estimators': 1000}",0.925,0.875,0.875,0.9,0.875
59,65,0.8899999999999999,0.012247448713915901,0.6524612426757812,0.01072089815794466,0.001100921630859375,0.00020020015895315458,0.25,2,1000,"{'learning_rate': 0.25, 'max_depth': 2, 'n_estimators': 1000}",0.9,0.9,0.875,0.9,0.875
103,71,0.885,0.012247448713915901,0.05594801902770996,0.006958562700140636,0.0009007453918457031,0.00020027171997793705,0.05,2,50,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 50}",0.875,0.875,0.875,0.9,0.9
26,71,0.885,0.020000000000000018,0.0677581787109375,0.0012894416116361461,0.0006006240844726562,0.0002001286405081905,0.5,1,100,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 100}",0.9,0.9,0.85,0.875,0.9
91,71,0.885,0.020000000000000018,0.08747506141662598,0.0010686218920576394,0.0007007598876953125,0.00024534003485027076,0.1,4,50,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50}",0.9,0.9,0.875,0.9,0.85
33,71,0.885,0.040620192023179805,0.19726953506469727,0.005126847617484311,0.0007006168365478515,0.0002451648684780419,0.5,2,200,"{'learning_rate': 0.5, 'max_depth': 2, 'n_estimators': 200}",0.9,0.825,0.875,0.875,0.95
107,71,0.885,0.025495097567963948,1.0327882766723633,0.07080931179169811,0.0013012886047363281,0.00024508697038669384,0.05,2,1000,"{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 1000}",0.925,0.85,0.875,0.9,0.875
115,76,0.8800000000000001,0.036742346141747706,0.08727521896362304,0.0018884538158986436,0.0007006168365478515,0.0002452622294763273,0.05,4,50,"{'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 50}",0.9,0.85,0.9,0.925,0.825
